playerID,yearID,teamID,G,AB,R,H,X2B,X3B,HR,BB,HBP,SF,salary
abbotku01,1996,FLO,109,320,37,81,18,7,8,22,3,0,650000
abreubo01,1996,HOU,15,22,1,5,1,0,0,2,0,0,150000
acrema01,1996,OAK,22,,,,,,,,,,165000
adamsjo02,1996,FLO,9,0,0,0,0,0,0,0,0,0,151000
adamste01,1996,CHN,69,6,0,0,0,0,0,1,0,0,215000
adamswi02,1996,OAK,12,,,,,,,,,,157500
aguilri01,1996,MIN,19,,,,,,,,,,3075000
aldresc01,1996,DET,11,,,,,,,,,,225000
aldresc01,1996,MIN,25,,,,,,,,,,225000
alexama02,1996,BAL,54,68,6,7,0,0,0,3,0,0,205000
alfoned01,1996,NYN,123,368,36,96,15,2,4,25,0,5,215000
alicelu01,1996,SLN,129,380,54,98,26,3,5,52,5,6,650000
allenje01,1996,PIT,61,229,32,60,9,3,4,23,4,2,160000
alomaro01,1996,BAL,153,588,132,193,43,4,22,90,1,12,6354379
alomasa02,1996,CLE,127,418,53,110,23,0,11,19,3,2,2600000
aloumo01,1996,MON,143,540,87,152,28,2,21,49,2,7,4500000
alstoga01,1996,COL,6,1,0,0,0,0,0,0,0,0,152000
alvarwi01,1996,CHA,35,,,,,,,,,,4662500
amarari01,1996,SEA,118,312,69,91,11,3,1,47,5,1,550000
amaroru02,1996,PHI,61,117,14,37,10,0,2,9,3,0,275000
anderbr01,1996,BAL,149,579,117,172,37,5,50,76,22,4,4050000
anderga01,1996,CAL,150,607,79,173,33,2,12,27,0,3,600000
andresh01,1996,MON,127,375,43,85,15,2,19,35,2,2,225000
andujlu01,1996,CHA,5,,,,,,,,,,170000
andujlu01,1996,TOR,3,,,,,,,,,,170000
appieke01,1996,KCA,32,,,,,,,,,,4800000
ariasal01,1996,FLO,100,224,27,62,11,2,3,17,3,1,450000
ashbyan01,1996,SDN,25,45,6,11,5,0,0,0,0,1,3400000
ashlebi01,1996,LAN,71,110,18,22,2,1,9,21,1,1,275000
assenpa01,1996,CLE,63,,,,,,,,,,875000
astacpe01,1996,LAN,35,68,1,6,0,0,0,1,0,0,2900000
aurilri01,1996,SFN,105,318,27,76,7,1,3,25,1,2,175000
ausmubr01,1996,DET,75,226,30,56,12,0,4,26,2,2,1075000
ausmubr01,1996,SDN,50,149,16,27,4,0,1,13,3,0,1075000
averyst01,1996,ATL,24,46,5,11,4,1,2,1,0,2,4850000
ayalabo01,1996,SEA,50,0,0,0,0,0,0,0,0,0,900000
baergca01,1996,CLE,100,424,54,113,25,0,10,16,7,4,4750000
baergca01,1996,NYN,26,83,5,16,3,0,2,5,2,1,4750000
bagweje01,1996,HOU,162,568,111,179,48,2,31,135,10,6,8040000
baileco01,1996,SLN,51,1,2,0,0,0,0,2,0,0,181000
bailero01,1996,COL,24,19,4,5,0,1,1,3,0,0,200000
baineha01,1996,CHA,143,495,80,154,29,0,22,73,1,3,1925000
baldwja01,1996,CHA,28,,,,,,,,,,250000
banksbr01,1996,ML4,4,7,2,4,2,0,1,1,0,0,150000
barbebr02,1996,SLN,1,0,0,0,0,0,0,0,0,0,155000
barroto01,1996,MON,1,1,0,0,0,0,0,0,0,0,150000
batchri01,1996,SLN,11,1,0,0,0,0,0,0,0,0,157500
batesja01,1996,COL,88,160,19,33,8,1,1,23,2,1,195000
batismi01,1996,FLO,9,0,0,0,0,0,0,0,0,0,153000
batisto01,1996,OAK,74,238,38,71,10,2,6,19,1,2,162500
bautida01,1996,DET,25,64,12,16,2,0,2,9,0,0,200000
bautida01,1996,ATL,17,20,1,3,0,0,0,2,1,0,200000
bautijo01,1996,SFN,37,9,1,1,0,0,0,0,0,0,150000
beckeri01,1996,MIN,148,525,92,153,31,4,12,68,2,4,260000
beckro01,1996,SFN,63,3,0,1,0,0,0,0,0,0,3183380
beechma01,1996,PHI,8,14,1,1,0,0,0,0,0,0,150000
belchti01,1996,KCA,35,,,,,,,,,,2300000
belinst01,1996,BOS,31,,,,,,,,,,950000
bellda01,1996,SLN,62,145,12,31,6,0,1,10,1,1,170000
bellde01,1996,HOU,158,627,84,165,40,3,17,40,8,9,3250000
belleal01,1996,CLE,158,602,124,187,38,3,48,99,7,7,10000000
bellira01,1996,ATL,86,142,9,24,7,0,0,2,0,1,250000
bellja01,1996,PIT,151,527,65,132,29,3,13,54,5,6,5000000
berma01,1996,SFN,135,488,89,121,17,4,5,59,4,1,185000
benesal01,1996,SLN,34,61,4,9,3,0,0,2,0,0,240000
benesan01,1996,SLN,36,73,5,11,4,0,0,1,0,2,4850000
benitar01,1996,BAL,18,,,,,,,,,,275000
benitya01,1996,MON,11,12,0,2,0,0,0,0,0,0,150000
bereja01,1996,CHA,5,,,,,,,,,,420000
bergmse01,1996,SDN,43,30,1,3,0,0,1,0,0,0,275000
berroge01,1996,OAK,153,586,101,170,32,1,36,47,4,6,3300000
berryse01,1996,HOU,132,431,55,121,38,1,17,23,9,4,2250000
bertomi01,1996,CHA,15,,,,,,,,,,160000
bevilbr01,1996,KCA,3,,,,,,,,,,150000
bicheda01,1996,COL,159,633,114,198,39,3,31,45,6,10,5166667
bielemi01,1996,ATL,40,10,1,1,0,0,0,2,0,0,707500
biggicr01,1996,HOU,162,605,113,174,24,4,15,75,27,8,6280000
blairwi01,1996,SDN,60,3,0,0,0,0,0,0,0,0,800000
blausje01,1996,ATL,83,265,48,65,14,1,10,40,6,1,4020000
blaziro01,1996,PHI,27,1,0,1,0,0,0,0,0,0,150000
blowemi01,1996,LAN,92,317,31,84,19,2,6,37,1,3,400000
blumaja01,1996,KCA,17,,,,,,,,,,165000
bochtdo01,1996,SDN,63,0,0,0,0,0,0,0,0,0,250000
boehrbr01,1996,NYA,15,,,,,,,,,,161100
bogarti01,1996,NYN,91,89,17,19,4,0,0,8,2,2,275000
boggswa01,1996,NYA,132,501,80,156,29,2,2,67,0,5,2000000
bohanbr01,1996,TOR,20,,,,,,,,,,205000
bondsba01,1996,SFN,158,517,122,159,27,3,42,151,1,6,8666667
bonesri01,1996,ML4,33,0,0,0,0,0,0,0,0,0,390000
bonesri01,1996,ML4,33,0,0,0,0,0,0,0,0,0,350000
bonesri01,1996,NYA,4,,,,,,,,,,390000
bonesri01,1996,NYA,4,,,,,,,,,,350000
