hours,kidslt6,kidsge6,age,educ,exper,nwifeinc
1610,1,0,32,12,14,10.91005993
1656,0,2,30,12,5,19.49998093
1980,1,3,35,12,15,12.03991032
456,0,3,34,12,6,6.799995899
1568,1,2,31,14,7,20.1000576
2032,0,0,54,12,33,9.859053612
1440,0,2,37,16,11,9.152048111
1020,0,0,54,12,35,10.90003777
1458,0,2,48,12,24,17.30500031
1600,0,2,39,12,21,12.92500019
1969,0,1,33,12,15,24.29995346
1960,0,1,42,11,14,19.70007133
240,1,2,30,12,0,15.00000763
997,0,2,43,12,14,14.60000038
1848,0,1,43,10,6,24.63091469
1224,0,3,35,11,9,17.53102684
1400,0,2,43,12,20,14.09998035
640,0,5,39,12,6,15.83899975
2000,0,0,45,12,23,14.10000038
1324,0,4,35,12,9,10.29996109
2215,0,2,42,16,5,22.65498161
1680,0,0,30,12,11,8.090047836
1600,0,0,48,13,18,17.47900009
800,0,0,45,12,15,9.56000042
1955,1,1,31,12,4,8.274952888
660,0,2,43,17,21,27.34998512
525,0,0,59,12,31,16
1904,0,3,32,12,9,16.99998283
1516,1,0,31,17,7,15.10005569
346,0,0,42,12,7,15.6999836
1040,0,0,50,11,32,5.118959904
732,0,0,59,16,11,16.75001144
1880,0,2,36,13,16,13.59993172
1680,0,1,51,12,14,17.10004807
2081,0,3,45,16,27,16.73404884
690,0,1,42,11,0,14.19697762
4210,0,0,46,12,17,10.3199873
2205,0,1,46,10,28,11.38410473
1952,0,0,51,14,24,14.59407806
1302,0,0,30,17,11,17.50043869
112,1,2,30,12,1,15.50999641
893,0,0,57,12,14,21.9999752
583,1,2,31,16,6,22.5
480,0,2,48,12,10,19.99399948
1900,0,3,30,12,6,14.13000011
576,0,2,34,12,4,5.000012875
2056,0,2,48,16,10,21.15489769
1984,0,0,45,12,22,7.141945839
2640,0,0,51,12,16,16.6500721
240,0,2,30,12,6,6.35199976
1173,0,1,46,12,12,27.31394768
3640,0,0,58,12,32,14.50000381
340,0,8,37,12,15,16.25798988
500,0,0,52,8,17,9.5
1599,0,0,52,10,34,7.999956131
1830,0,0,31,16,9,12.50002861
1920,0,0,55,14,37,14.00003242
2052,0,0,34,17,10,20.80007362
2312,0,0,55,14,35,19.38511276
196,0,2,39,12,6,12.3869915
2500,0,3,40,14,19,28.5
1980,0,4,43,12,10,15.04990864
1840,0,0,48,8,11,10.49998379
320,0,0,47,12,15,11.81000042
419,0,4,41,12,12,6.950073242
1880,0,0,36,8,12,12.41997147
72,0,2,46,17,14,17.40000343
120,0,0,34,12,11,15.49999619
1885,0,3,41,12,9,21.21704292
240,0,1,51,12,24,18
1729,0,0,33,12,12,11.89991856
1850,0,0,52,12,13,26.75195503
2033,0,0,58,9,29,12.14996147
608,2,4,34,10,11,10.19999027
1153,0,1,31,12,13,8.120015144
2208,0,1,48,12,19,10.65996456
252,0,2,32,12,2,18.10000992
337,0,0,49,17,24,8.599986076
90,2,2,32,15,9,13.66499996
1174,0,0,58,12,6,32.34996033
372,0,0,50,6,22,12.08500576
30,0,0,60,14,30,12.14999962
1800,0,1,50,12,10,17.69502068
282,0,0,56,14,6,24.70000076
720,0,0,51,9,29,2.133991957
1440,0,1,54,17,29,20.95004845
2100,0,0,59,13,36,10.50008011
1000,0,2,46,9,19,10.55000019
952,0,1,46,15,8,45.75
1413,1,3,39,12,13,13.63204002
2100,0,2,44,12,16,18.23893929
120,2,0,33,12,11,17.08999634
3000,1,2,33,12,15,30.23489952
1000,0,2,48,12,6,28.70000076
336,0,4,31,12,13,19.62999535
1216,0,1,45,12,22,12.82494259
988,0,1,45,12,24,23.79999924
2581,0,2,32,13,2,26.30002594
2030,0,0,47,12,6,20.6999073
413,0,2,34,13,2,26.00000381
782,0,1,37,12,2,10.87702084
1388,0,1,36,12,14,25.61206245
1450,1,2,47,12,9,20.9889946
1720,0,1,48,16,11,70.74993134
