Case,No,Task,CC.Ch1,GN.Ch1,NS.Ch1,BU.Ch1,FA.Ch1,LD.Ch1,BZ.Ch1,FC.Ch1,FP.Ch1,RP.Ch1,PP.Ch1,KA.Ch1,SC.Ch1,TS.Ch1,NV.Ch1,MA.Ch1,LB.Ch1,AF.Ch1,HU.Ch1,Price.Ch1,CC.Ch2,GN.Ch2,NS.Ch2,BU.Ch2,FA.Ch2,LD.Ch2,BZ.Ch2,FC.Ch2,FP.Ch2,RP.Ch2,PP.Ch2,KA.Ch2,SC.Ch2,TS.Ch2,NV.Ch2,MA.Ch2,LB.Ch2,AF.Ch2,HU.Ch2,Price.Ch2,CC.Ch3,GN.Ch3,NS.Ch3,BU.Ch3,FA.Ch3,LD.Ch3,BZ.Ch3,FC.Ch3,FP.Ch3,RP.Ch3,PP.Ch3,KA.Ch3,SC.Ch3,TS.Ch3,NV.Ch3,MA.Ch3,LB.Ch3,AF.Ch3,HU.Ch3,Price.Ch3,CC.Ch4,GN.Ch4,NS.Ch4,BU.Ch4,FA.Ch4,LD.Ch4,BZ.Ch4,FC.Ch4,FP.Ch4,RP.Ch4,PP.Ch4,KA.Ch4,SC.Ch4,TS.Ch4,NV.Ch4,MA.Ch4,LB.Ch4,AF.Ch4,HU.Ch4,Price.Ch4,segment,year,miles,night,gender,age,educ,region,Urb,income,ppark,Ch1,Ch2,Ch3,Ch4,Choice
751,14251,1,0,0,0,4,2,2,0,1,2,0,1,2,0,0,0,1,2,0,0,2,0,0,0,2,1,3,0,1,3,0,3,1,0,0,0,2,1,0,0,12,0,0,0,4,1,2,0,1,1,0,1,1,0,0,0,1,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Utility,2005,Under 50 Miles,10% To 20%,Male,30 To 39,Some College (1-3 Years),MW,Rural/Country,"$90,000 to $99,999",Yearly,,,,,
751,14252,2,3,1,0,0,1,2,1,0,0,2,0,0,0,2,3,0,0,1,0,6,3,2,0,0,2,1,1,0,0,2,0,0,0,3,1,0,0,2,0,10,1,1,0,0,1,3,2,0,0,2,0,0,0,1,1,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Utility,2005,Under 50 Miles,10% To 20%,Male,30 To 39,Some College (1-3 Years),MW,Rural/Country,"$90,000 to $99,999",Yearly,,,,,
751,14253,3,0,0,5,0,0,2,0,2,1,0,0,0,4,2,1,4,0,0,2,1,0,0,3,0,0,1,0,1,1,0,0,0,1,2,1,4,0,0,1,8,0,0,5,0,0,3,0,1,3,0,0,0,2,2,3,4,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Utility,2005,Under 50 Miles,10% To 20%,Male,30 To 39,Some College (1-3 Years),MW,Rural/Country,"$90,000 to $99,999",Yearly,,,,,
751,14254,4,3,1,3,0,0,0,3,0,0,1,2,1,4,0,0,0,4,0,0,12,3,2,4,0,0,0,1,0,0,1,2,1,1,0,0,0,1,0,0,11,3,1,3,0,0,0,3,0,0,2,1,2,4,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Utility,2005,Under 50 Miles,10% To 20%,Male,30 To 39,Some College (1-3 Years),MW,Rural/Country,"$90,000 to $99,999",Yearly,,,,,
751,14255,5,0,0,4,2,1,0,0,0,2,0,0,2,1,2,1,0,0,1,0,2,0,0,2,1,2,0,0,0,4,0,0,1,2,1,2,0,0,3,0,8,0,0,4,4,1,0,0,0,3,0,0,2,3,3,2,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Utility,2005,Under 50 Miles,10% To 20%,Male,30 To 39,Some College (1-3 Years),MW,Rural/Country,"$90,000 to $99,999",Yearly,,,,,
751,14256,6,2,1,0,4,0,1,3,2,0,0,0,0,0,0,0,1,0,3,2,4,3,2,0,6,0,1,2,2,0,0,0,0,0,0,0,4,0,2,1,7,2,2,0,1,0,1,2,1,0,0,0,0,0,0,0,3,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Utility,2005,Under 50 Miles,10% To 20%,Male,30 To 39,Some College (1-3 Years),MW,Rural/Country,"$90,000 to $99,999",Yearly,,,,,
751,14257,7,0,0,0,0,2,2,2,1,0,1,2,0,2,0,2,0,3,0,0,11,0,0,0,0,2,2,2,1,0,2,3,0,3,0,3,0,4,0,0,11,0,0,0,0,1,1,2,1,0,2,1,0,1,0,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Utility,2005,Under 50 Miles,10% To 20%,Male,30 To 39,Some College (1-3 Years),MW,Rural/Country,"$90,000 to $99,999",Yearly,,,,,
751,14258,8,2,1,0,0,0,0,0,0,1,1,0,2,0,1,0,1,4,2,0,12,1,2,0,0,0,0,0,0,4,2,0,2,0,3,0,2,4,1,0,12,3,1,0,0,0,0,0,0,2,2,0,2,0,3,0,1,3,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Utility,2005,Under 50 Miles,10% To 20%,Male,30 To 39,Some College (1-3 Years),MW,Rural/Country,"$90,000 to $99,999",Yearly,,,,,
751,14259,9,3,0,4,3,0,2,0,0,0,1,2,1,0,0,1,0,0,0,1,12,2,0,2,4,0,2,0,0,0,2,3,1,0,0,3,0,0,0,1,11,3,0,4,4,0,2,0,0,0,1,1,1,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Utility,2005,Under 50 Miles,10% To 20%,Male,30 To 39,Some College (1-3 Years),MW,Rural/Country,"$90,000 to $99,999",Yearly,,,,,
751,14260,10,0,1,0,6,2,0,0,1,0,0,1,0,2,3,0,0,0,2,1,3,0,1,0,6,2,0,0,1,0,0,2,0,2,2,0,0,0,3,2,7,0,1,0,5,1,0,0,1,0,0,3,0,1,2,0,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midsize Utility,2005,Under 50 Miles,10% To 20%,Male,30 To 39,Some College (1-3 Years),MW,Rural/Country,"$90,000 to $99,999",Yearly,,,,,
