ID,EDUC,LOGWAGE,EXPER,ABILITY,MOTHERED,FATHERED,BRKNHOME,SIBLINGS 
1,1,1.82,1,1,12,12,0,1
1,2,3.29,3,1,12,12,0,1
1,2,3.21,5,1,12,12,0,1
1,2,3.06,6,1,12,12,0,1
2,1,2.14,4,1.5,12,12,0,1
2,1,2.3,5,1.5,12,12,0,1
2,1,2.4,6,1.5,12,12,0,1
2,1,2.46,7,1.5,12,12,0,1
2,1,2.51,8,1.5,12,12,0,1
2,1,2.5,9,1.5,12,12,0,1
2,1,2.55,10,1.5,12,12,0,1
2,1,2.56,11,1.5,12,12,0,1
2,1,2.6,12,1.5,12,12,0,1
3,0,1.56,1,-0.36,12,12,1,1
4,0,1.85,1,0.26,12,10,1,4
4,0,2.14,2,0.26,12,10,1,4
4,0,1.81,3,0.26,12,10,1,4
4,0,1.15,4,0.26,12,10,1,4
4,1,1.93,4,0.26,12,10,1,4
4,1,2.08,5,0.26,12,10,1,4
4,1,2.13,6,0.26,12,10,1,4
4,1,2.48,7,0.26,12,10,1,4
4,1,2.98,8,0.26,12,10,1,4
4,1,2.25,9,0.26,12,10,1,4
4,1,2.27,10,0.26,12,10,1,4
4,1,2.12,11,0.26,12,10,1,4
5,1,2.41,2,0.3,12,12,1,1
5,1,2.5,4,0.3,12,12,1,1
5,1,2.56,5,0.3,12,12,1,1
6,1,1.83,2,0.44,12,16,0,2
6,1,2.01,3,0.44,12,16,0,2
6,1,1.91,4,0.44,12,16,0,2
6,1,2.08,5,0.44,12,16,0,2
6,1,2.22,6,0.44,12,16,0,2
6,1,2.37,7,0.44,12,16,0,2
6,1,2.32,9,0.44,12,16,0,2
6,1,2.45,10,0.44,12,16,0,2
6,1,2.69,11,0.44,12,16,0,2
6,1,2.8,12,0.44,12,16,0,2
6,1,2.59,13,0.44,12,16,0,2
6,1,2.7,14,0.44,12,16,0,2
7,1,1.78,3,0.91,12,12,0,1
7,1,2.43,8,0.91,12,12,0,1
7,1,2.35,9,0.91,12,12,0,1
8,1,2.12,4,0.51,12,15,1,2
8,1,2.33,5,0.51,12,15,1,2
8,1,2.26,6,0.51,12,15,1,2
8,1,2.09,7,0.51,12,15,1,2
8,1,2.32,8,0.51,12,15,1,2
8,1,2.37,9,0.51,12,15,1,2
